33	10
33	15
33	16
33	18
33	19
33	21
33	23
33	24
33	25
33	26
33	27
33	28
33	30
33	31
33	32
33	35
33	36
33	37
33	38
33	39
33	40
33	42
33	43
33	46
34	4
34	7
34	9
34	10
34	25
34	30
34	31
34	38
34	39
34	40
34	41
34	45
34	46
34	49
35	4
35	25
35	38
35	41
35	42
35	49
36	0
36	4
36	7
36	9
36	10
36	12
36	13
36	14
36	15
36	19
36	27
36	28
36	29
36	31
36	38
36	39
36	40
36	41
36	42
36	43
36	45
36	46
36	49
37	7
37	15
37	23
37	28
37	29
37	30
37	31
37	38
37	39
37	40
37	42
37	43
37	46
37	49
38	4
38	12
38	13
38	25
38	39
39	9
39	49
40	4
40	9
40	10
40	14
40	31
40	35
41	4
41	9
41	12
41	14
41	38
42	4
42	7
42	10
42	31
42	38
42	39
42	49
43	4
43	9
43	10
43	15
43	19
43	28
43	29
43	34
43	35
43	38
43	39
43	40
43	41
43	42
43	46
43	49
44	0
44	1
44	2
44	6
44	7
44	11
44	14
44	16
44	18
44	19
44	20
44	22
44	24
44	25
44	26
44	27
44	28
44	31
44	32
44	33
44	34
44	35
44	36
44	37
44	38
44	39
44	40
44	42
44	43
44	45
44	48
44	49
45	19
45	25
45	30
45	38
45	39
45	41
45	42
45	49
46	4
46	10
46	14
46	19
46	35
46	40
46	45
46	48
47	4
47	5
47	7
47	10
47	12
47	13
47	19
47	25
47	29
47	40
47	41
47	43
47	46
48	25
48	38
